frecuencia,perdida_agregada
78,548900.7141121858
70,534610.1390603344
73,555257.0712790947
71,549522.8775973981
88,599683.5054031657
70,490336.26869988156
75,562307.6686287372
83,568421.702412996
82,576192.276613275
78,553988.8261812514
71,426561.6907512502
96,746391.6439399887
84,755675.68610029
89,632275.3830502696
66,517833.4251527109
81,576933.181536096
90,813077.9332102591
71,509247.1477118105
86,605797.9105255328
85,581664.2949695225
77,525621.268547817
75,431136.80406531645
105,863143.4234269473
80,555157.834548667
79,515742.17274134146
88,682050.8026619538
75,680047.1085351045
92,663220.7872528749
59,382161.0117638215
78,563915.6599876799
79,582734.4774842743
84,455554.63561508106
82,560011.730375592
73,541622.0492678094
119,901780.0891392538
78,536248.9592118678
84,760639.273111586
96,753409.6335336675
90,761660.3305493296
73,596742.2601455002
87,612967.7014223152
88,740094.2175923918
68,477280.7347390127
84,571899.6601611602
83,442610.74046623916
80,561606.8211937912
86,724920.8121489141
83,544291.7539736594
75,568077.6640512043
78,614252.0748105127
82,530297.7461713983
72,456659.98032641003
70,406068.55610159895
67,531149.0784534109
83,684803.3033008806
95,705058.0999476938
72,673171.1849551743
64,486840.3410971691
77,500807.8377290349
69,519461.34727530787
93,560138.6442545587
75,654076.9448750195
78,562362.4718580263
86,655625.6118538608
90,611492.3066656835
85,591825.2513572166
86,608983.2280007821
86,472629.9582997943
78,558486.5657469367
85,631650.1413180985
84,711781.4980308437
80,555285.372325816
70,482306.9104637703
84,636934.4054560103
88,567777.8520479335
85,603464.9108282756
97,958817.4942920471
97,660305.7997047103
69,468744.7903826276
90,567001.5148825875
73,621877.9525516465
73,494509.7235407156
82,685953.5432954773
83,666297.5461349606
73,456761.8082759335
98,723912.8219606983
77,568359.2577588243
72,459987.78744492726
82,494363.7614072566
80,652927.1873035892
89,617747.9872020372
97,696827.562876195
70,514734.79297248676
84,638196.1659312322
84,862082.4258204952
65,532689.2032360606
75,562479.1119857611
73,532649.7774129133
83,629677.7325654065
72,554356.9423257287
89,551065.1562335889
89,701764.2497515659
86,966171.16024405
89,676382.9284080663
102,765506.6405044601
